"filename", "language", "TypeScript", "SCSS", "TypeScript JSX", "CSS", "JSON", "comment", "blank", "total"
"d:\QG\projectCode\chat\chat\src\App.scss", "SCSS", 0, 8, 0, 0, 0, 1, 0, 9
"d:\QG\projectCode\chat\chat\src\App.tsx", "TypeScript JSX", 0, 0, 59, 0, 0, 0, 14, 73
"d:\QG\projectCode\chat\chat\src\assets\font\iconfont.css", "CSS", 0, 0, 0, 322, 0, 0, 106, 428
"d:\QG\projectCode\chat\chat\src\assets\font\iconfont.json", "JSON", 0, 0, 0, 0, 730, 0, 1, 731
"d:\QG\projectCode\chat\chat\src\components\ActerList\index.scss", "SCSS", 0, 67, 0, 0, 0, 0, 7, 74
"d:\QG\projectCode\chat\chat\src\components\ActerList\index.tsx", "TypeScript JSX", 0, 0, 112, 0, 0, 1, 16, 129
"d:\QG\projectCode\chat\chat\src\components\AudioPlayer\index.scss", "SCSS", 0, 11, 0, 0, 0, 0, 2, 13
"d:\QG\projectCode\chat\chat\src\components\AudioPlayer\index.tsx", "TypeScript JSX", 0, 0, 103, 0, 0, 0, 16, 119
"d:\QG\projectCode\chat\chat\src\components\Avatar\index.scss", "SCSS", 0, 16, 0, 0, 0, 0, 0, 16
"d:\QG\projectCode\chat\chat\src\components\Avatar\index.tsx", "TypeScript JSX", 0, 0, 28, 0, 0, 0, 6, 34
"d:\QG\projectCode\chat\chat\src\components\Dialogue\index.scss", "SCSS", 0, 45, 0, 0, 0, 0, 6, 51
"d:\QG\projectCode\chat\chat\src\components\Dialogue\index.tsx", "TypeScript JSX", 0, 0, 80, 0, 0, 1, 11, 92
"d:\QG\projectCode\chat\chat\src\components\ISay\index.scss", "SCSS", 0, 124, 0, 0, 0, 0, 13, 137
"d:\QG\projectCode\chat\chat\src\components\ISay\index.tsx", "TypeScript JSX", 0, 0, 22, 0, 0, 0, 5, 27
"d:\QG\projectCode\chat\chat\src\components\LeftSidebar\index.scss", "SCSS", 0, 36, 0, 0, 0, 0, 7, 43
"d:\QG\projectCode\chat\chat\src\components\LeftSidebar\index.tsx", "TypeScript JSX", 0, 0, 24, 0, 0, 0, 5, 29
"d:\QG\projectCode\chat\chat\src\components\NewMsgAlert\index.scss", "SCSS", 0, 12, 0, 0, 0, 0, 0, 12
"d:\QG\projectCode\chat\chat\src\components\NewMsgAlert\index.tsx", "TypeScript JSX", 0, 0, 15, 0, 0, 0, 5, 20
"d:\QG\projectCode\chat\chat\src\components\OnlineUsers\index.scss", "SCSS", 0, 113, 0, 0, 0, 0, 13, 126
"d:\QG\projectCode\chat\chat\src\components\OnlineUsers\index.tsx", "TypeScript JSX", 0, 0, 56, 0, 0, 0, 7, 63
"d:\QG\projectCode\chat\chat\src\components\OtherSay\index.scss", "SCSS", 0, 28, 0, 0, 0, 0, 5, 33
"d:\QG\projectCode\chat\chat\src\components\OtherSay\index.tsx", "TypeScript JSX", 0, 0, 21, 0, 0, 0, 7, 28
"d:\QG\projectCode\chat\chat\src\components\WordInput\index.scss", "SCSS", 0, 69, 0, 0, 0, 0, 7, 76
"d:\QG\projectCode\chat\chat\src\components\WordInput\index.tsx", "TypeScript JSX", 0, 0, 140, 0, 0, 0, 14, 154
"d:\QG\projectCode\chat\chat\src\constant\constant.ts", "TypeScript", 54, 0, 0, 0, 0, 3, 4, 61
"d:\QG\projectCode\chat\chat\src\constant\type.d.ts", "TypeScript", 55, 0, 0, 0, 0, 0, 6, 61
"d:\QG\projectCode\chat\chat\src\hooks\useMediaRecorder.tsx", "TypeScript JSX", 0, 0, 60, 0, 0, 1, 16, 77
"d:\QG\projectCode\chat\chat\src\hooks\useRequest.tsx", "TypeScript JSX", 0, 0, 36, 0, 0, 0, 5, 41
"d:\QG\projectCode\chat\chat\src\hooks\useSocketService.tsx", "TypeScript JSX", 0, 0, 133, 0, 0, 2, 19, 154
"d:\QG\projectCode\chat\chat\src\index.css", "CSS", 0, 0, 0, 36, 0, 1, 9, 46
"d:\QG\projectCode\chat\chat\src\main.tsx", "TypeScript JSX", 0, 0, 13, 0, 0, 0, 2, 15
"d:\QG\projectCode\chat\chat\src\pages\Home\index.scss", "SCSS", 0, 35, 0, 0, 0, 0, 4, 39
"d:\QG\projectCode\chat\chat\src\pages\Home\index.tsx", "TypeScript JSX", 0, 0, 28, 0, 0, 1, 5, 34
"d:\QG\projectCode\chat\chat\src\store\hook.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 2, 6
"d:\QG\projectCode\chat\chat\src\store\index.ts", "TypeScript", 13, 0, 0, 0, 0, 2, 4, 19
"d:\QG\projectCode\chat\chat\src\store\slice\message.ts", "TypeScript", 41, 0, 0, 0, 0, 0, 7, 48
"d:\QG\projectCode\chat\chat\src\store\slice\userInfo.ts", "TypeScript", 44, 0, 0, 0, 0, 0, 5, 49
"d:\QG\projectCode\chat\chat\src\store\slice\websocket.ts", "TypeScript", 29, 0, 0, 0, 0, 0, 6, 35
"d:\QG\projectCode\chat\chat\src\utils\random.ts", "TypeScript", 22, 0, 0, 0, 0, 6, 3, 31
"d:\QG\projectCode\chat\chat\src\utils\request.ts", "TypeScript", 68, 0, 0, 0, 0, 25, 5, 98
"d:\QG\projectCode\chat\chat\src\utils\stringChange.ts", "TypeScript", 22, 0, 0, 0, 0, 11, 1, 34
"d:\QG\projectCode\chat\chat\src\vite-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 1, 1, 2
"Total", "-", 352, 564, 930, 358, 730, 56, 377, 3367
